1.1. Nome da Escola,9.1. A Escola possui Regimento Interno?,9.2. A Escola possui Projeto Político-Pedagógico?,"9.3. A Escola tem alguma dificuldade em expedir histórico ou registrar notas, presença ou faltas?"
EE PROF PAULO FREIRE,Sim,Sim,Não
ESCOLA ESTADUAL DOUTOR PEDRO VELHO,Sim,Sim,Não
ESCOLA MUNICIPAL NOSSA SENHORA DO DESTERRO,Sim,Sim,Sim
ESCOLA MUNICIPAL DEPUTADO GRIMALDI RIBEIRO,Sim,Sim,Não
ESCOLA MUNICIPAL JOÃO BATISTA DE MENDONÇA,Sim,Sim,Não
ESCOLA ESTADUAL PRESIDENTE TANCREDO NEVES,Sim,Sim,Não
ESCOLA ESTADUAL PROFA. MARIA OCILA BEZERRIL,Sim,Sim,Não
ESCOLA MUNICIPAL BARTOLOMEU FAGUNDES,Sim,Sim,Não
ESCOLA MUNICIPAL MANOEL GERMANO DOS SANTOS,Sim,Sim,Não
ESCOLA MUNICIPAL ELZA BEZERRIL RIBEIRO,Sim,Sim,Não
ESCOLA MUNICIPAL DE 1º GRAU DR. JOSÉ TARGINO,Sim,Sim,Não
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SÃO SEBASTIÃO,Sim,Sim,Não
ESCOLA MUNICIPAL JUAREZ RABELO,Sim,Sim,Não
CENTRO EDUCACIONAL RURAL ROBERTO MAGALHÃES DE MELO,Sim,Sim,Não
ESCOLA MUNICIPAL JOÃO ANACLETO FILHO,Sim,Sim,Não
ESCOLA ESTADUAL MATIAS MACIEL,Sim,Sim,Não
ESCOLA ESTADUAL EM TEMPO INTEGRAL FELIPE FERREIRA,Sim,Não,Não
ESCOLA MUNICIPAL DR. MANOEL F. DE MELO,Sim,Sim,Não
CRECHE MUNICIPAL DONA DAL,Sim,Sim,Não
ESCOLA ESTADUAL FABRÍCIO MARANHÃO,Sim,Sim,Não
ESCOLA ESTADUAL EM TEMPO INTEGRAL FABRÍCIO MARANHÃO,Sim,Sim,Sim
ESCOLA ESTADUAL 4 DE MARÇO,Sim,Sim,Não
ESCOLA MUNICIPAL DE 1 GRAU MAIOR PADRE LEÔNCIO,Sim,Sim,Não
ESCOLA MUNICIPAL JUVÊNCIO DOS SANTOS CORDEIRO,Sim,Sim,Sim
CENTRO EDUCACIONAL MARIA DA CONCEIÇÃO FREIRE,Sim,Sim,Não
ESCOLA MUNICIPAL JUVÊNCIO DOS SANTOS CORDEIRO,Sim,Sim,Não
ESCOLA MUNICIPAL JOSÉ DE CARVALHO E SILVA,Sim,Sim,Não
ESCOLA MESCOLA MUNICIPAL JOÃO GOMES DE TORRES,Sim,Sim,Não
ESCOLA MUNICIPAL NOSSA SENHORA DA CONCEIÇÃO,Sim,Sim,Não
ESCOLA MUNICIPAL MANOEL RODRIGUES,Sim,Sim,Não
ESCOLA MUNICIPAL CRECHE MARIA DO CARMO,Sim,Sim,Não
ESCOLA MUNICIPAL JOSÉ PEREIRA DA SILVA DE ENSINO BÁSICO EM TEMPO INTEGRAL,Sim,Sim,Não
E.M 16 DE JULHO,Sim,Sim,Não
ESCOLA MUNICPAL JOSÉ DE ALBUQUERQUE MARANHÃO,Sim,Sim,Sim
ESCOLA MUNICIPAL HOMERO HOMEM,Sim,Sim,Não
ESCOLA MUNICIPAL DR ABELARDO CALAFANGE,Sim,Sim,Não
JARDIM DE INFÂNCIA CRIANÇA FELIZ,Não,Sim,Não
ESCOLA MUNICIPAL MOZART CALAFANGE,Sim,Sim,Não
ESCOLA MUNICIPAL FIRMINO ANTÔNIO DE CARVALHO,Sim,Sim,Não
E.M. CRECHE CANGUARETAMA,Sim,Sim,Não
ESCOLA MUNICIPAL INDIGENA JOAO LINO DA SILVA,Sim,Sim,Não
ESCOLA MUNICIPAL ANTONIO DE CARVALHO FILHO,Sim,Sim,Sim
ESCOLA MUNICIPAL PROFWSSORA MARIA DA PAZ MOREIRA,Sim,Sim,Não
ESC0LA MUNICIPAL PROFESSORA ANITA MELO,Sim,Sim,Não
ESCOLA MUNICIPAL PROFESSORA MARIA ELIZABETH DE CASTRO,Sim,Sim,Não
ESCOLA MUNICIPAL JOAQUIM GOMES SOBRINHO,Sim,Sim,Não
ESCOLA MUNICIPAL DRº JOSÉ TARGINO,Sim,Sim,Não
CRECHE MUNICIPAL MANOEL VIEIRA DA SILVA,Sim,Sim,Não
