1.1. Nome da Escola,8.1. A Escola possui Conselho Escolar?,"8.1.1. Caso a resposta anterior seja ""Sim"", o Conselho Escolar está funcionando regularmente?",8.2. O Conselho Escolar está completo ou possui vacância?,8.3. A Escola possui Conselho de Classe?,"8.3.1. Caso a resposta anterior seja ""Sim"", o Conselho de Classe está funcionando regularmente?",8.3.2. O Conselho de Classe está completo ou possui vacância?,8.4. A Escola possui Grêmio estudantil?,8.5. A Direção da Escola é eleita?
EE PROF PAULO FREIRE,Sim,Sim,Possui vacância,Sim,Sim,Completo,Sim,Sim
ESCOLA ESTADUAL DOUTOR PEDRO VELHO,Sim,Sim,Completo,Sim,Sim,Completo,Não,Sim
ESCOLA MUNICIPAL NOSSA SENHORA DO DESTERRO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL DEPUTADO GRIMALDI RIBEIRO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL JOÃO BATISTA DE MENDONÇA,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA ESTADUAL PRESIDENTE TANCREDO NEVES,Sim,Sim,Completo,Sim,Sim,Completo,Não,Sim
ESCOLA ESTADUAL PROFA. MARIA OCILA BEZERRIL,Sim,Sim,Completo,Sim,Sim,Completo,Não,Sim
ESCOLA MUNICIPAL BARTOLOMEU FAGUNDES,Não,Não se aplica porque a Escola não possui Conselho Escolar,Não se aplica porque a Escola não possui Conselho Escolar,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL MANOEL GERMANO DOS SANTOS,Sim,Sim,Completo,Sim,Sim,Completo,Não,Não
ESCOLA MUNICIPAL ELZA BEZERRIL RIBEIRO,Sim,Sim,Completo,Sim,Sim,Completo,Sim,Sim
ESCOLA MUNICIPAL DE 1º GRAU DR. JOSÉ TARGINO,Sim,Sim,Completo,Sim,Sim,Completo,Não,Não
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SÃO SEBASTIÃO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL JUAREZ RABELO,Sim,Sim,Completo,Sim,Sim,Completo,Não,Sim
CENTRO EDUCACIONAL RURAL ROBERTO MAGALHÃES DE MELO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Sim
ESCOLA MUNICIPAL JOÃO ANACLETO FILHO,Sim,Sim,Completo,Sim,Sim,Completo,Não,Sim
ESCOLA ESTADUAL MATIAS MACIEL,Sim,Sim,Completo,Sim,Sim,Completo,Não,Sim
ESCOLA ESTADUAL EM TEMPO INTEGRAL FELIPE FERREIRA,Sim,Sim,Completo,Sim,Sim,Completo,Não,Sim
ESCOLA MUNICIPAL DR. MANOEL F. DE MELO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
CRECHE MUNICIPAL DONA DAL,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA ESTADUAL FABRÍCIO MARANHÃO,Sim,Sim,Completo,Sim,Sim,Completo,Não,Sim
ESCOLA ESTADUAL EM TEMPO INTEGRAL FABRÍCIO MARANHÃO,Sim,Sim,Possui vacância,Sim,Sim,Completo,Não,Sim
ESCOLA ESTADUAL 4 DE MARÇO,Sim,Sim,Completo,Sim,Sim,Completo,Sim,Sim
ESCOLA MUNICIPAL DE 1 GRAU MAIOR PADRE LEÔNCIO,Sim,Sim,Completo,Sim,Sim,Completo,Não,Sim
ESCOLA MUNICIPAL JUVÊNCIO DOS SANTOS CORDEIRO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
