1.1. Nome da Escola,Data do Envio,1.2. Endereço,1.3. Telefone de Contato,1.4. E-mail de Contato,"1.5. Caso a Escola possua perfil em redes sociais (Instagram, Facebook etc), indicar o nome e a rede social (Caso não possua perfil, responder ""Não se aplica"")",1.6. Nome da Direção,"1.7. Nome da Vice-Direção (se não houver, responder ""Não se aplica"")",1.8. A Escola pertence a qual rede pública de ensino?,1.9. Níveis de ensino (pode marcar mais de uma opção),1.10. Turno de funcionamento (pode marcar mais de uma opção),1.11. A Escola está localizada em qual município?,1.12. Porte da Escola,1.13. A Escola possui quantos alunos matriculados no momento?,1.14. Qual é a quantidade de turmas existentes na Escola?,1.15. Qual é a quantidade de salas de aula existentes na Escola?,1.16. Todas as salas de aula são utilizadas?
EE PROF PAULO FREIRE,17/09/2025 09:13:28,Rua: José Severino Marques Sn,84 991088021,jeane.1219057@educar.rn.gov.br,eeprofessorpaulofreire,Jeane Aleixo De Araújo,Auriberto Nisso De Araújo,Estadual,1º ao 3º ano do Ensino Médio,Matutino;Vespertino;Noturno,Baía Formosa,Porte III,380,11,04 por turno,"Sim, em todos os turnos de funcionamento da Escola"
ESCOLA ESTADUAL DOUTOR PEDRO VELHO,22/09/2025 05:41:16,"Av. Professor Genar Bezerril,554 Centro, Pedro Velho-Rn",8432472462,eedpedrovelho@gmail.com,@escola_drpv (instagram),Jean Carlos Gomes De Araujo,Jerônima Silvana Coelho Alves,Estadual,6º ao 9º ano do Ensino Fundamental;1º ao 3º ano do Ensino Médio,Matutino;Vespertino,Pedro Velho,Porte II,478,14,8,"Sim, em todos os turnos de funcionamento da Escola"
ESCOLA MUNICIPAL NOSSA SENHORA DO DESTERRO,22/09/2025 05:55:42,Rua Cordeiro Nº 106,84994127090,marizedantas1997@gmail.com,escola municipal nossa senhora do desterro,Maria Do Rosário De Oliveira Matos,Não Se Aplica,Municipal,1º ao 5º ano do Ensino Fundamental;6º ao 9º ano do Ensino Fundamental;EJA,Matutino;Vespertino;Noturno,Vila Flor,Porte IV,382,20,8,"Sim, apenas em parte dos turnos de funcionamento da Escola"
ESCOLA MUNICIPAL DEPUTADO GRIMALDI RIBEIRO,23/09/2025 03:36:35,"Avenida Professor Genar Bezerril, S/N, Centro, Pedro Velho-Rn",84994930484,kinado06@gmail.com,@grimaldi_ribeiro_oficial,José Wilson Moreira,Verônica Ferreira Da Silva Luz,Municipal,1º ao 5º ano do Ensino Fundamental;EJA,Matutino;Vespertino;Noturno,Pedro Velho,Porte IV,506,16,8,"Sim, apenas em parte dos turnos de funcionamento da Escola"
ESCOLA MUNICIPAL JOÃO BATISTA DE MENDONÇA,23/09/2025 09:59:44,"Rua Astrogildo Freire, S/N, Centro - Baía Formosa/Rn",(84) 99117-2065,tomeerlandia@gmail.com,escola_joaobatistamunicipalbf,Erlândia Tomé Da Silva Gonçalo,Maria Fátima Alexandre,Municipal,1º ao 5º ano do Ensino Fundamental,Matutino;Vespertino,Baía Formosa,Porte II,255,12,12,"Sim, em todos os turnos de funcionamento da Escola"
ESCOLA ESTADUAL PRESIDENTE TANCREDO NEVES,24/09/2025 08:54:22,Rua João Felipe De Oliveira Sn,8432450039,eetancredoneves@educar.rn.gov.br,@tancredooficil9444,Emmanuel Bezerra De Santana,Talita Cristina De Brito,Estadual,6º ao 9º ano do Ensino Fundamental;1º ao 3º ano do Ensino Médio,Matutino;Vespertino,Vila Flor,Porte IV,173,8,7,Não
ESCOLA ESTADUAL PROFA. MARIA OCILA BEZERRIL,24/09/2025 15:37:19,"Avenida Professor Genar Bezerril, 563 Pedro Velho/Rn.",(84) 3247-2462,mocilabezerril@hotmail.com,instagram: prof_mariaocila facebook: ocilabe bezerrilensino médio e ocila bezerrilerril,Jeane Carla Pinheiro,Adalberto Giliard Ferreira,Estadual,1º ao 3º ano do Ensino Médio;EJA,Noturno,Pedro Velho,Porte I,247,7 ,8 salas,"Sim, apenas em parte dos turnos de funcionamento da Escola"
ESCOLA MUNICIPAL BARTOLOMEU FAGUNDES,29/09/2025 04:57:29,Rua Joao Antonio De Oliveira Fagundes,9916119746,bartolomeufagundes98@gmail.com,e.m.bartolomeu,Erinalva Cassiano De Araujo,Não Se Aplica,Municipal,1º ao 3º ano do Ensino Médio,Matutino;Vespertino,Vila Flor,Porte IV,106,06,03,"Sim, em todos os turnos de funcionamento da Escola"
ESCOLA MUNICIPAL MANOEL GERMANO DOS SANTOS,29/09/2025 08:32:36,"Rua Astrogildo Freire, S/N",84 9 91243092,escolamages@yahoo.com.br,(facebook): manoel germano dos santos. (instagrama): escola_mages_bf,Sheila Duarte Da Silva Jerônimo,Zenilde Martins Do Nascimento,Municipal,6º ao 9º ano do Ensino Fundamental,Matutino;Vespertino,Baía Formosa,Porte IV,327,10 ,10 salas de aulas,"Sim, em todos os turnos de funcionamento da Escola"
ESCOLA MUNICIPAL ELZA BEZERRIL RIBEIRO,29/09/2025 08:40:21,Rua Olívia De Souza,84981558615,aleribeirosilva@outlook.com,@elzaemfoco,Maria Das Neves Soares Do Nascimento,Sonia Ferreira Martins,Municipal,1º ao 5º ano do Ensino Fundamental;6º ao 9º ano do Ensino Fundamental;EJA,Matutino;Vespertino;Noturno,Canguaretama,Porte III,472,22,9,"Sim, em todos os turnos de funcionamento da Escola"
ESCOLA MUNICIPAL DE 1º GRAU DR. JOSÉ TARGINO,01/10/2025 11:10:00,Rua Genar Bezerril - Nº 484 - Centro - Pedro Velho/Rn,(84) 9 8144-3231,jtarginopv@gmail.com,@jtarginopv1 - instagram,Mariana Dino Do Nascimento,Raquel Silva Marinho Pereira,Municipal,6º ao 9º ano do Ensino Fundamental,Matutino;Vespertino;Noturno,Pedro Velho,Porte V,706,20,9,"Sim, apenas em parte dos turnos de funcionamento da Escola"
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SÃO SEBASTIÃO,02/10/2025 04:06:34,"Rua São Sebastiã, 173 - Cuité/Pedro Velho/Rn",(84)981167414,escolamcbranco@gmail.com,escolam.saosebastiao,Alciene Félix Da Silva,Não Se Aplica,Municipal,1º ao 5º ano do Ensino Fundamental;6º ao 9º ano do Ensino Fundamental;EJA,Matutino;Vespertino;Noturno,Pedro Velho,Porte III,320,15,7,Não
ESCOLA MUNICIPAL JUAREZ RABELO,09/10/2025 04:49:41,"Rua Marecha Deodoro, Nº Sn",84 994614613,betobarbalhocantor@gmail.com,emjuarezrabelo (instagran) e.m.juarez rabelo,Eriberto Da Silva Bezerra,Nelcylene Pontes De Moura,Municipal,1º ao 5º ano do Ensino Fundamental;6º ao 9º ano do Ensino Fundamental,Matutino;Vespertino,Canguaretama,Porte IV,1120,35,13 (sede) 06(anexo),"Sim, em todos os turnos de funcionamento da Escola"
CENTRO EDUCACIONAL RURAL ROBERTO MAGALHÃES DE MELO,10/10/2025 09:39:21,Avenida Gilberto Rodrigues S/N,84996222350,magalhaesroberto780@gmail.com,robertomagalhaes,Joao Alves Galvão Neto,Joelma Freire De Andrade,Municipal,1º ao 5º ano do Ensino Fundamental;6º ao 9º ano do Ensino Fundamental,Matutino;Vespertino,Canguaretama,Porte IV,415,22,11,"Sim, em todos os turnos de funcionamento da Escola"
ESCOLA MUNICIPAL JOÃO ANACLETO FILHO,13/10/2025 02:40:29,Largo Acelino Gomes Da Cruz,84-32442140,escolajafbfsecretaria@gmail.com,escolajafbf,Adriana Câmara De Brito,Claudianeide Do Nascimento Guerra,Municipal,1º ao 5º ano do Ensino Fundamental,Matutino;Vespertino,Baía Formosa,Porte II,248,10,7,"Sim, em todos os turnos de funcionamento da Escola"
ESCOLA ESTADUAL MATIAS MACIEL,14/10/2025 05:48:08,"Rua José Benedito Ferreira, S/N, Barra Do Cunhaú, Canguaretama/Rn.",84 3241-4303,eematiasmaciel@educar.rn.gov.br,eematiasmaciel,Solaneide Da Silva Andrade,Não Se Aplica,Estadual,6º ao 9º ano do Ensino Fundamental;1º ao 3º ano do Ensino Médio;EJA,Matutino;Vespertino;Noturno,Canguaretama,Porte V,95,5,3,"Sim, apenas em parte dos turnos de funcionamento da Escola"
ESCOLA ESTADUAL EM TEMPO INTEGRAL FELIPE FERREIRA,17/10/2025 05:28:55,"Rua Osório Chaves, Sn - Piquiri - Canguaretama/Rn",8432417090,eefelipeferreira@educar.rn.gov.br,@eefelipeferreira,Flavia Lino Duarte,Maria Gilza Ribeiro Da Cruz Lima,Estadual,1º ao 3º ano do Ensino Médio,Matutino;Vespertino;Noturno,Canguaretama,Porte II,211,6,4,"Sim, apenas em parte dos turnos de funcionamento da Escola"
