1.1. Nome da Escola,4.1. A Escola tem carência de professores?,"4.2. Caso a resposta anterior seja ""Sim"", a necessidade é de professores efetivos ou temporários? (Pode marcar mais de uma opção)",4.3. Os docentes fazem o planejamento das aulas com auxílio de profissional para orientação pedagógica?,4.4. É realizado algum tipo de análise individualizada (avaliação) do desempenho dos professores?,4.5. Os professores recebem capacitação periódica oferecida pelo Poder Público?
EE PROF PAULO FREIRE,Sim,Efetivos,Sim,Sim,Não
ESCOLA ESTADUAL DOUTOR PEDRO VELHO,Sim,Temporários,Sim,Não,Não
ESCOLA MUNICIPAL NOSSA SENHORA DO DESTERRO,Não,Não se aplica porque não ha carência de professores na Escola,Sim,Sim,Sim
ESCOLA MUNICIPAL DEPUTADO GRIMALDI RIBEIRO,Sim,Efetivos,Não,Sim,Sim
ESCOLA MUNICIPAL JOÃO BATISTA DE MENDONÇA,Não,Não se aplica porque não ha carência de professores na Escola,Sim,Sim,Sim
ESCOLA ESTADUAL PRESIDENTE TANCREDO NEVES,Não,Não se aplica porque não ha carência de professores na Escola,Sim,Não,Não
ESCOLA ESTADUAL PROFA. MARIA OCILA BEZERRIL,Sim,Efetivos,Sim,Não,Sim
ESCOLA MUNICIPAL BARTOLOMEU FAGUNDES,Não,Não se aplica porque não ha carência de professores na Escola,Sim,Sim,Não
ESCOLA MUNICIPAL MANOEL GERMANO DOS SANTOS,Não,Não se aplica porque não ha carência de professores na Escola,Sim,Sim,Sim
ESCOLA MUNICIPAL ELZA BEZERRIL RIBEIRO,Sim,Efetivos,Sim,Não,Não
ESCOLA MUNICIPAL DE 1º GRAU DR. JOSÉ TARGINO,Sim,Efetivos;Temporários,Sim,Sim,Sim
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SÃO SEBASTIÃO,Sim,Efetivos,Sim,Não,Não
ESCOLA MUNICIPAL JUAREZ RABELO,Não,Não se aplica porque não ha carência de professores na Escola,Não,Não,Sim
CENTRO EDUCACIONAL RURAL ROBERTO MAGALHÃES DE MELO,Não,Não se aplica porque não ha carência de professores na Escola,Sim,Sim,Sim
ESCOLA MUNICIPAL JOÃO ANACLETO FILHO,Não,Não se aplica porque não ha carência de professores na Escola,Sim,Sim,Sim
ESCOLA ESTADUAL MATIAS MACIEL,Sim,Efetivos,Sim,Não,Sim
ESCOLA ESTADUAL EM TEMPO INTEGRAL FELIPE FERREIRA,Sim,Efetivos;Temporários,Sim,Sim,Sim
ESCOLA MUNICIPAL DR. MANOEL F. DE MELO,Não,Não se aplica porque não ha carência de professores na Escola,Sim,Sim,Sim
