Carimbo de data/hora,Nome da Escola
2025/09/04 2:21:03 PM GMT-3,Pedro II
2025/09/04 2:22:18 PM GMT-3,Teste
2025/09/04 2:25:26 PM GMT-3,Escola Estadual Joaquim da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual a da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual b da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
2025/09/04 2:25:26 PM GMT-3,Escola Estadual c da Luz 
